swings_competitive,percent_swings_competitive,contact,avg_bat_speed,hard_swing_rate,squared_up_per_bat_contact,squared_up_per_swing,blast_per_bat_contact,blast_per_swing,swing_length,swords,batter_run_value,whiffs,whiff_per_swing,batted_ball_events,batted_ball_event_per_swing,pa,k_percent,bb_percent,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent,bat_speed_contact_ratio,squared_up_efficiency,contact_quality_composite,swing_efficiency_ratio,whiff_to_contact_ratio,power_potential_score,sweet_spot_optimization
36,0.8780487804878049,30,72.557606667,0.3611111111111111,0.4333333333333333,0.3611111111111111,0.0666666666666666,0.0555555555555555,8.415369722,1,2.920996461416737,6,0.1666666666666666,18,0.5,665,16.5,5.1,33.7,8.3,40.2,100.206577918,94.441647592,21.2,53.1,2.4185868889,0.15648148148148147,0.287037037037037,8.622034332884418,0.3333333333333332,0.37279898486413654,21.0
34,0.8947368421052632,23,72.527293529,0.2941176470588235,0.2608695652173913,0.1764705882352941,0.1739130434782608,0.1176470588235294,7.276859412,0,-1.514505109423889,11,0.3235294117647059,11,0.3235294117647059,525,19.2,9.0,30.1,4.8,45.1,101.95363038,95.456582989,22.4,43.2,3.1533605882173914,0.04603580562659846,0.2429667519181585,9.966840009221276,1.0,0.40211203101661386,17.45
41,0.9761904761904762,29,72.35598561,0.2926829268292683,0.2068965517241379,0.1463414634146341,0.1379310344827586,0.0975609756097561,7.268247073,0,1.3041829888443544,12,0.2926829268292683,11,0.2682926829268293,194,20.1,8.8,33.6,9.5,47.4,102.522867681,95.839902044,22.2,43.1,2.495033986551724,0.03027754415475188,0.21250350434538826,9.955080624431051,1.0909090909090908,0.39985445231702665,21.55
35,0.8974358974358975,28,72.125123429,0.2285714285714286,0.3214285714285714,0.2571428571428571,0.1071428571428571,0.0857142857142857,7.464022571,1,-0.1871452610448024,7,0.2,14,0.4,654,15.4,4.9,28.0,2.5,33.8,98.391584263,93.278410239,20.5,49.1,2.5758972653214287,0.08265306122448977,0.21904761904761905,9.66303661905151,0.5,0.31380928150250503,15.25
34,0.918918918918919,27,72.102405588,0.088235294117647,0.3703703703703703,0.2941176470588235,0.1481481481481481,0.1176470588235294,7.794826765,1,-1.199904061975619,7,0.2058823529411764,13,0.3823529411764705,694,21.8,17.0,39.2,12.5,46.3,102.005582609,95.508273792,25.2,38.1,2.6704594662222223,0.10893246187363831,0.20225127087872183,9.250033100382828,0.5384615384615384,0.3394186704898706,25.85
34,0.8947368421052632,24,71.938872353,0.2352941176470588,0.3333333333333333,0.2352941176470588,0.1666666666666666,0.1176470588235294,7.171403529,3,-2.554515082859808,10,0.2941176470588235,14,0.4117647058823529,112,27.7,8.0,36.1,4.2,26.4,96.754775143,92.526949855,24.8,41.3,2.997453014708333,0.07843137254901959,0.24509803921568626,10.031351891173156,0.7142857142857142,0.2961970933801318,20.150000000000002
51,0.8793103448275862,36,70.749045882,0.1764705882352941,0.1388888888888889,0.0980392156862745,0.0555555555555555,0.0392156862745098,7.137329804,2,-5.0939215519628185,15,0.2941176470588235,11,0.2156862745098039,112,27.7,8.0,36.1,4.2,26.4,96.754775143,92.526949855,24.8,41.3,1.9652512745000001,0.013616557734204792,0.12363834422657949,9.91253701662348,1.3636363636363635,0.23441062031455662,20.150000000000002
37,0.8809523809523809,30,71.785057838,0.2702702702702703,0.2666666666666666,0.2162162162162162,0.1,0.081081081081081,6.877442973,1,-2.7632113328278605,7,0.1891891891891892,13,0.3513513513513513,173,23.7,11.0,34.5,11.5,44.2,102.973610536,95.802114595,25.8,41.2,2.392835261266667,0.05765765765765764,0.2123123123123123,10.437753990810155,0.5384615384615385,0.36201766436539784,23.0
36,0.9230769230769232,28,71.594096389,0.1944444444444444,0.3571428571428571,0.2777777777777778,0.0714285714285714,0.0555555555555555,7.207406667,0,-0.3794387417081814,8,0.2222222222222222,13,0.3611111111111111,355,11.0,9.0,27.9,1.8,24.0,95.225044627,91.661459139,11.5,41.2,2.5569320138928573,0.0992063492063492,0.20767195767195765,9.933405966504207,0.6153846153846153,0.24601107716193799,14.85
37,0.925,31,71.471365135,0.1891891891891892,0.3548387096774194,0.2972972972972973,0.1612903225806451,0.1351351351351351,7.455707838,0,-1.2583506009398848,6,0.1621621621621621,16,0.4324324324324324,666,18.3,16.2,27.9,7.2,39.7,100.380489577,94.255167488,19.4,36.6,2.305527907580645,0.10549258936355711,0.23510607381575122,9.58612739232178,0.37499999999999983,0.3318230791133395,17.55
40,0.9302325581395348,32,71.08657775,0.25,0.34375,0.275,0.0625,0.05,7.57108925,2,-4.493616691721243,8,0.2,15,0.375,438,15.8,6.2,27.3,3.5,36.7,99.49811525,93.97675768,18.5,51.1,2.2214555546875,0.09453125000000001,0.21875,9.38921407510815,0.5333333333333333,0.3046399140955186,15.4
34,0.8717948717948718,19,70.829335294,0.088235294117647,0.3157894736842105,0.1764705882352941,0.0,0.0,7.822874118,0,-2.9253451551298024,15,0.4411764705882353,8,0.2352941176470588,650,30.6,11.8,33.7,11.5,43.8,101.012069116,94.798555983,35.6,48.9,3.7278597523157897,0.055727554179566555,0.13467492260061917,9.05413205244165,1.8750000000000002,0.27213227764354897,22.6
50,0.8928571428571429,36,69.981561,0.04,0.1666666666666666,0.12,0.0833333333333333,0.06,7.607377,2,-2.276600661123957,14,0.28,14,0.28,218,21.1,5.0,32.1,5.0,43.4,100.738383205,94.667719548,26.5,47.6,1.94393225,0.01999999999999999,0.09666666666666664,9.199170883735617,1.0,0.265353394185606,18.55
39,0.951219512195122,31,69.84115,0.1282051282051282,0.2903225806451613,0.2307692307692307,0.1290322580645161,0.1025641025641025,7.646895385,0,0.247858158321762,8,0.2051282051282051,14,0.358974358974359,595,25.5,6.6,37.5,7.7,34.5,97.738445628,92.919924962,29.7,49.7,2.252940322580645,0.06699751861042182,0.18251998897160185,9.13326866443067,0.5714285714285713,0.2603102249362701,22.6
41,0.9111111111111112,33,69.45830439,0.073170731707317,0.2727272727272727,0.2195121951219512,0.0303030303030303,0.024390243902439,7.537260488,1,1.4121936606967131,8,0.1951219512195122,16,0.3902439024390244,689,9.7,4.8,31.2,3.1,28.6,96.184716937,92.100077743,11.3,51.7,2.1047971027272725,0.05986696230598668,0.12540034491254,9.215324918195927,0.5,0.19003351587557302,17.15
21,0.9545454545454546,15,68.980717619,0.0952380952380952,0.7333333333333333,0.5238095238095238,0.2666666666666666,0.1904761904761904,7.054843333,0,2.6718838016139634,6,0.2857142857142857,11,0.5238095238095238,481,20.4,11.6,43.4,11.3,44.7,100.237943038,94.60770581,24.6,49.2,4.598714507933334,0.3841269841269841,0.36507936507936506,9.777781640640155,0.5454545454545454,0.3159661875519563,27.35
30,0.9090909090909092,21,68.912430333,0.0333333333333333,0.3809523809523809,0.2666666666666666,0.1428571428571428,0.1,7.044827,0,-2.54578821408868,9,0.3,12,0.4,288,20.1,6.3,33.8,4.3,33.8,97.839528365,92.92144149,21.0,57.4,3.2815443015714285,0.10158730158730155,0.18571428571428564,9.781990435393233,0.7499999999999999,0.22122090930356375,19.049999999999997
47,0.8703703703703703,35,68.603867021,0.0851063829787234,0.2857142857142857,0.2127659574468085,0.0285714285714285,0.0212765957446808,7.819185532,2,-4.779865782759834,12,0.2553191489361702,16,0.3404255319148936,601,22.0,7.0,37.1,4.5,28.9,96.820899279,92.433096346,22.4,43.8,1.9601104863142857,0.060790273556231,0.13313069908814587,8.773786827315815,0.75,0.18086998825825606,20.8
33,0.868421052631579,28,68.035955758,0.0909090909090909,0.3571428571428571,0.303030303030303,0.0714285714285714,0.0606060606060606,7.195670606,1,1.8911960379652009,5,0.1515151515151515,16,0.4848484848484848,654,12.5,7.0,33.4,5.5,37.5,99.412633162,93.922887905,14.7,40.2,2.4298555627857144,0.1082251082251082,0.17316017316017315,9.455123710258396,0.3125,0.22087059404959522,19.45
