"last_name, first_name",player_id,year,pa,k_percent,bb_percent,woba,xwoba,xwobacon,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent,season
"Stanton, Giancarlo",519317,2017,692,23.6,12.3,0.41,0.403,0.501,31.6,17.4,45.6,105.945187156,97.153915517,31.8,42.9,2017
"Brugman, Jaycob",595144,2017,162,23.5,11.1,0.305,0.286,0.325,31.1,1.9,29.5,96.821432885,92.454361068,23.2,43.3,2017
"Martínez, José A.",500874,2017,307,19.5,10.4,0.379,0.418,0.497,37.7,10.7,45.3,101.224561121,95.020299812,20.7,41.5,2017
"Mazara, Nomar",608577,2017,616,20.6,8.9,0.317,0.318,0.365,30.5,6.5,37.1,100.356946698,94.279860233,25.7,46.1,2017
"Simmons, Andrelton",592743,2017,647,10.4,7.3,0.323,0.307,0.309,31.3,2.5,28.7,96.360267241,92.180495536,13.6,46.3,2017
"Young Jr., Eric",458913,2017,125,24.8,4.0,0.329,0.272,0.314,22.0,1.2,30.0,96.096041053,92.187302,29.6,51.4,2017
"Lester, Jon",452657,2017,65,40.0,6.2,0.203,0.205,0.322,22.9,5.7,31.4,99.308102,94.002067586,33.0,40.7,2017
"Russell, Addison",608365,2017,385,23.6,7.5,0.305,0.308,0.373,35.6,5.7,35.2,97.995219615,93.015018577,27.4,50.1,2017
"Newcomb, Sean",656794,2017,35,48.6,5.7,0.078,0.071,0.067,6.3,0.0,0.0,87.72511,88.54204125,29.9,50.8,2017
"Valencia, Danny",502143,2017,500,24.4,8.0,0.311,0.301,0.362,31.5,5.7,37.5,99.781746467,93.987572132,29.9,42.8,2017
"Delmonico, Nicky",547170,2017,166,18.7,13.9,0.369,0.328,0.337,39.1,5.5,26.4,96.026744074,92.213052991,25.0,45.9,2017
"Hoskins, Rhys",656555,2017,212,21.7,17.5,0.417,0.398,0.451,39.7,13.5,45.2,100.841269206,94.624704365,20.6,38.4,2017
