id,name,swings_competitive,percent_swings_competitive,contact,avg_bat_speed,hard_swing_rate,squared_up_per_bat_contact,squared_up_per_swing,blast_per_bat_contact,blast_per_swing,swing_length,swords,batter_run_value,whiffs,whiff_per_swing,batted_ball_events,batted_ball_event_per_swing,"last_name, first_name",player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
672284,"Kelenic, Jarred",33,0.9166666666666666,19,74.089389091,0.4242424242424242,0.2631578947368421,0.1515151515151515,0.1578947368421052,0.0909090909090909,7.471500303,0,-2.694992592878183,14,0.4242424242424242,12,0.3636363636363636,"Kelenic, Jarred",672284,2025,19,12,0.158,0.149,0.009,0.316,0.289,0.027,0.2,0.186,0.014
671213,"Casas, Triston",38,0.926829268292683,25,74.060853947,0.4473684210526316,0.08,0.0526315789473684,0.08,0.0526315789473684,8.014468947,1,-3.1815458912861296,13,0.3421052631578947,9,0.2368421052631578,"Casas, Triston",671213,2025,18,10,0.059,0.136,-0.077,0.059,0.16,-0.101,0.088,0.16,-0.072
663698,"Bart, Joey",34,0.918918918918919,21,74.026695588,0.4411764705882353,0.3333333333333333,0.2058823529411764,0.0952380952380952,0.0588235294117647,7.272970882,0,-2.697264815441401,13,0.3823529411764705,12,0.3529411764705882,"Bart, Joey",663698,2025,23,13,0.25,0.175,0.075,0.25,0.23,0.0199999999999999,0.284,0.246,0.0379999999999999
694671,"Langford, Wyatt",36,0.9473684210526316,29,73.954822778,0.5,0.4482758620689655,0.3611111111111111,0.2068965517241379,0.1666666666666666,7.208628889,0,1.3859497818261075,7,0.1944444444444444,19,0.5277777777777778,"Langford, Wyatt",694671,2025,24,20,0.304,0.269,0.0349999999999999,0.565,0.566,-0.001,0.383,0.364,0.019
700242,"Sweeney, Trey",30,0.9375,25,73.954779667,0.4333333333333333,0.28,0.2333333333333333,0.12,0.1,7.492995,0,-1.2884562229087289,5,0.1666666666666666,14,0.4666666666666667,"Sweeney, Trey",700242,2025,19,15,0.278,0.261,0.017,0.278,0.302,-0.0239999999999999,0.269,0.27,-0.001
680776,"Duran, Jarren",33,0.8918918918918919,26,73.929023939,0.3939393939393939,0.4230769230769231,0.3333333333333333,0.2692307692307692,0.2121212121212121,7.393099091,1,-0.5253960086816112,7,0.2121212121212121,17,0.5151515151515151,"Duran, Jarren",680776,2025,23,17,0.286,0.285,0.001,0.429,0.489,-0.06,0.339,0.362,-0.0229999999999999
687597,"Beck, Jordan",27,0.9642857142857144,17,73.925962963,0.4444444444444444,0.2941176470588235,0.1851851851851851,0.1764705882352941,0.1111111111111111,7.612255185,0,-1.0059368056750573,10,0.3703703703703703,7,0.2592592592592592,"Beck, Jordan",687597,2025,14,8,0.167,0.143,0.024,0.167,0.187,-0.0199999999999999,0.226,0.22,0.006
542303,"Ozuna, Marcell",29,0.90625,19,73.893973793,0.4827586206896552,0.2105263157894736,0.1379310344827586,0.0526315789473684,0.0344827586206896,7.304732414,1,-2.7803863523950207,10,0.3448275862068966,5,0.1724137931034483,"Ozuna, Marcell",542303,2025,24,7,0.214,0.163,0.0509999999999999,0.214,0.202,0.0119999999999999,0.4,0.381,0.019
669261,"Suwinski, Jack",25,0.8928571428571429,19,73.8155168,0.32,0.2631578947368421,0.2,0.1578947368421052,0.12,7.2707768,1,-1.8329171870086705,6,0.24,9,0.36,"Suwinski, Jack",669261,2025,17,9,0.133,0.28,-0.147,0.2,0.547,-0.347,0.177,0.37,-0.193
664761,"Bohm, Alec",28,0.9032258064516128,24,73.815252143,0.4285714285714286,0.5416666666666666,0.4642857142857143,0.4583333333333333,0.3928571428571428,7.52388,1,-1.17427056716871,4,0.1428571428571428,15,0.5357142857142857,"Bohm, Alec",664761,2025,20,16,0.263,0.372,-0.1089999999999999,0.316,0.66,-0.344,0.274,0.452,-0.178
